# co2 concentrations 1980-2100
YEAR	RCP_26	RCP_45	RCP_60	RCP_85
2086	433.53784	576.10176	684.90932	1034.8947
2087	433.02784	576.21926	688.66931	1048.8033
2088	432.50084	576.35645	692.17507	1062.8068
2089	431.97678	576.53478	695.46193	1076.9606
2090	431.47294	576.76615	698.56587	1091.0723
2091	430.99896	577.05342	701.5144	1104.9867
2092	430.54808	577.39691	704.41932	1118.8894
2093	430.11047	577.78563	707.36978	1132.8854
2094	429.68013	578.20286	710.34212	1146.9227
2095	429.25077	578.6387	713.32311	1160.9927
2096	428.82102	579.08959	716.30643	1175.0915
2097	428.39079	579.55387	719.28847	1189.2172
2098	427.94949	580.01489	722.25882	1203.3531
2099	427.49743	580.46977	725.22787	1217.4831
2100	426.9627	580.90945	728.1237	1231.4453
