YEAR	RCP_26	RCP_45	RCP_60	RCP_85
1822	283.62677	283.62677	283.62677	283.62677
1823	283.65484	283.65484	283.65484	283.65484
1824	283.70645	283.70645	283.70645	283.70645
1825	283.76004	283.76004	283.76004	283.76004
1826	283.8156	283.8156	283.8156	283.8156
1827	283.87272	283.87272	283.87272	283.87272
1828	283.93097	283.93097	283.93097	283.93097
1829	284.0128	284.0128	284.0128	284.0128
1830	283.96219	283.96219	283.96219	283.96219
1831	283.89979	283.89979	283.89979	283.89979
1832	283.8817	283.8817	283.8817	283.8817
1833	283.77007	283.77007	283.77007	283.77007
1834	283.66423	283.66423	283.66423	283.66423
1835	283.55955	283.55955	283.55955	283.55955
1836	283.36933	283.36933	283.36933	283.36933
1837	283.20262	283.20262	283.20262	283.20262
1838	283.15294	283.15294	283.15294	283.15294
1839	283.15861	283.15861	283.15861	283.15861
1840	283.1704	283.1704	283.1704	283.1704
1841	283.21078	283.21078	283.21078	283.21078
1842	283.30585	283.30585	283.30585	283.30585
1843	283.42935	283.42935	283.42935	283.42935
1844	283.57864	283.57864	283.57864	283.57864
1845	283.71288	283.71288	283.71288	283.71288
1846	283.88515	283.88515	283.88515	283.88515
1847	284.05105	284.05105	284.05105	284.05105
1848	284.22002	284.22002	284.22002	284.22002
1849	284.38831	284.38831	284.38831	284.38831
1850	284.47783	284.47783	284.47783	284.47783
1851	284.6785	284.6785	284.6785	284.6785
1852	284.4941	284.4941	284.4941	284.4941
1853	284.2542	284.2542	284.2542	284.2542
1854	284.31698	284.31698	284.31698	284.31698
1855	284.37752	284.37752	284.37752	284.37752
1856	284.48655	284.48655	284.48655	284.48655
1857	284.57144	284.57144	284.57144	284.57144
1858	284.75751	284.75751	284.75751	284.75751
1859	284.87162	284.87162	284.87162	284.87162
1860	284.54001	284.54001	284.54001	284.54001
1861	283.90984	283.90984	283.90984	283.90984
1862	284.24023	284.24023	284.24023	284.24023
1863	284.82703	284.82703	284.82703	284.82703
1864	284.92869	284.92869	284.92869	284.92869
1865	284.90678	284.90678	284.90678	284.90678
1866	284.53849	284.53849	284.53849	284.53849
1867	284.13273	284.13273	284.13273	284.13273
1868	284.15643	284.15643	284.15643	284.15643
1869	284.50991	284.50991	284.50991	284.50991
1870	284.76049	284.76049	284.76049	284.76049
1871	284.4221	284.4221	284.4221	284.4221
1872	283.27687	283.27687	283.27687	283.27687
1873	282.35666	282.35666	282.35666	282.35666
1874	282.41152	282.41152	282.41152	282.41152
1875	282.73787	282.73787	282.73787	282.73787
1876	283.19648	283.19648	283.19648	283.19648
1877	283.93288	283.93288	283.93288	283.93288
1878	284.51148	284.51148	284.51148	284.51148
1879	284.74683	284.74683	284.74683	284.74683
1880	284.54128	284.54128	284.54128	284.54128
1881	284.58021	284.58021	284.58021	284.58021
1882	285.21573	285.21573	285.21573	285.21573
1883	285.70213	285.70213	285.70213	285.70213
1884	286.0759	286.0759	286.0759	286.0759
1885	286.62046	286.62046	286.62046	286.62046
1886	287.06145	287.06145	287.06145	287.06145
1887	287.22534	287.22534	287.22534	287.22534
1888	286.96157	286.96157	286.96157	286.96157
1889	286.96533	286.96533	286.96533	286.96533
1890	287.04595	287.04595	287.04595	287.04595
1891	286.86678	286.86678	286.86678	286.86678
1892	286.80077	286.80077	286.80077	286.80077
1893	286.76394	286.76394	286.76394	286.76394
1894	286.66071	286.66071	286.66071	286.66071
1895	286.45183	286.45183	286.45183	286.45183
1896	286.39693	286.39693	286.39693	286.39693
1897	286.48722	286.48722	286.48722	286.48722
1898	286.5877	286.5877	286.5877	286.5877
1899	286.67626	286.67626	286.67626	286.67626
1900	286.79938	286.79938	286.79938	286.79938
1901	286.77043	286.77043	286.77043	286.77043
1902	286.76808	286.76808	286.76808	286.76808
1903	286.79694	286.79694	286.79694	286.79694
1904	286.84493	286.84493	286.84493	286.84493
1905	287.01406	287.01406	287.01406	287.01406
1906	287.05312	287.05312	287.05312	287.05312
1907	287.07137	287.07137	287.07137	287.07137
1908	287.53578	287.53578	287.53578	287.53578
1909	288.17921	288.17921	288.17921	288.17921
1910	288.48048	288.48048	288.48048	288.48048
1911	288.96295	288.96295	288.96295	288.96295
1912	289.66408	289.66408	289.66408	289.66408
1913	290.20208	290.20208	290.20208	290.20208
1914	290.93296	290.93296	290.93296	290.93296
1915	291.78371	291.78371	291.78371	291.78371
1916	292.2385	292.2385	292.2385	292.2385
1917	292.54437	292.54437	292.54437	292.54437
1918	292.99248	292.99248	292.99248	292.99248
1919	293.81347	293.81347	293.81347	293.81347
1920	294.37098	294.37098	294.37098	294.37098
1921	294.95151	294.95151	294.95151	294.95151
1922	295.68377	295.68377	295.68377	295.68377
1923	295.58615	295.58615	295.58615	295.58615
1924	295.65484	295.65484	295.65484	295.65484
1925	296.25067	296.25067	296.25067	296.25067
1926	296.81103	296.81103	296.81103	296.81103
1927	297.14059	297.14059	297.14059	297.14059
1928	297.49651	297.49651	297.49651	297.49651
1929	297.96527	297.96527	297.96527	297.96527
1930	298.61802	298.61802	298.61802	298.61802
1931	299.6497	299.6497	299.6497	299.6497
1932	300.71564	300.71564	300.71564	300.71564
1933	301.45026	301.45026	301.45026	301.45026
1934	301.83497	301.83497	301.83497	301.83497
1935	302.24383	302.24383	302.24383	302.24383
1936	302.53336	302.53336	302.53336	302.53336
1937	302.82266	302.82266	302.82266	302.82266
1938	303.56161	303.56161	303.56161	303.56161
1939	304.10605	304.10605	304.10605	304.10605
1940	304.10083	304.10083	304.10083	304.10083
1941	303.847	303.847	303.847	303.847
1942	303.56374	303.56374	303.56374	303.56374
1943	303.42564	303.42564	303.42564	303.42564
1944	303.26736	303.26736	303.26736	303.26736
1945	303.23386	303.23386	303.23386	303.23386
1946	303.00439	303.00439	303.00439	303.00439
1947	302.45801	302.45801	302.45801	302.45801
1948	302.01134	302.01134	302.01134	302.01134
1949	301.9696	301.9696	301.9696	301.9696
1950	301.92017	301.92017	301.92017	301.92017
1951	300.87693	300.87693	300.87693	300.87693
1952	299.88451	299.88451	299.88451	299.88451
1953	299.76378	299.76378	299.76378	299.76378
1954	299.76984	299.76984	299.76984	299.76984
1955	299.80994	299.80994	299.80994	299.80994
1956	299.87995	299.87995	299.87995	299.87995
1957	300.01814	300.01814	300.01814	300.01814
1958	300.42588	300.42588	300.42588	300.42588
1959	301.36642	301.36642	301.36642	301.36642
1960	302.54075	302.54075	302.54075	302.54075
1961	302.71708	302.71708	302.71708	302.71708
1962	302.62276	302.62276	302.62276	302.62276
1963	303.11374	303.11374	303.11374	303.11374
1964	303.60921	303.60921	303.60921	303.60921
1965	304.41983	304.41983	304.41983	304.41983
1966	305.56389	305.56389	305.56389	305.56389
1967	306.5942	306.5942	306.5942	306.5942
1968	307.80774	307.80774	307.80774	307.80774
1969	309.59802	309.59802	309.59802	309.59802
1970	311.80753	311.80753	311.80753	311.80753
1971	314.08678	314.08678	314.08678	314.08678
1972	316.19275	316.19275	316.19275	316.19275
1973	318.11545	318.11545	318.11545	318.11545
1974	319.5999	319.5999	319.5999	319.5999
1975	320.88163	320.88163	320.88163	320.88163
1976	322.19127	322.19127	322.19127	322.19127
1977	323.87398	323.87398	323.87398	323.87398
1978	326.20992	326.20992	326.20992	326.20992
1979	328.74045	328.74045	328.74045	328.74045
1980	330.86448	330.86448	330.86448	330.86448
1981	332.22762	332.22762	332.22762	332.22762
1982	333.03368	333.03368	333.03368	333.03368
1983	334.24432	334.24432	334.24432	334.24432
1984	336.14519	336.14519	336.14519	336.14519
1985	338.19811	338.19811	338.19811	338.19811
1986	340.22271	340.22271	340.22271	340.22271
1987	342.40873	342.40873	342.40873	342.40873
1988	345.08452	345.08452	345.08452	345.08452
1989	347.72931	347.72931	347.72931	347.72931
1990	349.91054	349.91054	349.91054	349.91054
1991	351.18907	351.18907	351.18907	351.18907
1992	351.54763	351.54763	351.54763	351.54763
1993	352.27475	352.27475	352.27475	352.27475
1994	353.73698	353.73698	353.73698	353.73698
1995	355.93868	355.93868	355.93868	355.93868
1996	358.2628	358.2628	358.2628	358.2628
1997	359.83008	359.83008	359.83008	359.83008
1998	361.47123	361.47123	361.47123	361.47123
1999	363.28251	363.28251	363.28251	363.28251
2000	364.36712	364.36712	364.36712	364.36712
2001	365.65347	365.65347	365.65347	365.65347
2002	367.97846	367.97846	367.97846	367.97846
2003	370.51984	370.51984	370.51984	370.51984
2004	372.78524	372.78524	372.78524	372.78524
2005	375.10733	375.14774	375.01356	375.19996
2006	377.78302	377.9461	377.4073	378.15546
2007	380.58411	380.85653	379.79075	381.3568
2008	383.52121	383.83367	382.25718	384.74081
2009	386.70186	386.97977	384.87959	388.42565
2010	390.12466	390.16358	387.60742	392.05839
2011	393.80038	393.30729	390.46124	395.27227
2012	397.55122	396.50327	393.40456	398.43505
2013	401.14961	399.74953	396.31639	401.79376
2014	404.6121	403.0079	399.16983	405.27595
2015	407.97407	406.30368	401.99284	408.90146
2016	411.24161	409.63408	404.78528	412.66275
2017	414.41543	412.99225	407.54279	416.54905
2018	417.49975	416.37558	410.26488	420.55429
2019	420.54587	419.82976	412.99842	424.72174
2020	423.46397	423.2685	415.76955	429.09113
2021	426.13517	426.57304	418.57698	433.67451
2022	428.59283	429.85219	421.4307	438.35716
2023	430.90787	433.18135	424.32454	443.07271
2024	433.14977	436.54545	427.26531	447.89186
2025	435.33254	439.94925	430.25671	452.81977
2026	437.45807	443.3933	433.29811	457.85702
2027	439.51961	446.87097	436.38173	462.99651
2028	441.50756	450.37214	439.49661	468.22769
2029	443.41805	453.89223	442.63738	473.54556
2030	445.15424	457.45837	445.56175	479.08885
2031	446.61843	461.09933	448.0224	485.00313
2032	447.94001	464.72715	450.29573	491.12015
2033	449.21029	468.29171	452.64207	497.33571
2034	450.3993	471.84006	455.04472	503.72772
2035	451.51977	475.38306	457.50887	510.3047
2036	452.57601	478.92388	460.03259	517.06703
2037	453.56851	482.46212	462.61159	524.01271
2038	454.48974	485.98924	465.2343	531.13088
2039	455.32873	489.49313	467.88612	538.4067
2040	455.97977	492.99769	470.71807	545.7943
2041	456.34012	496.53319	473.88849	553.2511
2042	456.51933	500.02452	477.20755	560.84527
2043	456.61284	503.4167	480.51085	568.61665
2044	456.61779	506.74797	483.84037	576.54983
2045	456.55646	510.04827	487.22318	584.6734
2046	456.44117	513.33668	490.67562	593.00721
2047	456.27749	516.62264	494.20484	601.56231
2048	456.07196	519.9107	497.8139	610.3439
2049	455.82122	523.19569	501.49522	619.34623
2050	455.44144	526.37589	505.13208	628.43015
2051	454.85279	529.35342	508.61464	637.45629
2052	454.14536	532.17795	512.05303	646.55197
2053	453.41568	534.90801	515.55895	655.82329
2054	452.65504	537.53828	519.11937	665.22649
2055	451.86092	540.07165	522.73329	674.76367
2056	451.05176	542.53604	526.42404	684.4678
2057	450.2375	544.94887	530.20531	694.3603
2058	449.42024	547.31846	534.0827	704.45429
2059	448.59908	549.6494	538.05859	714.75889
2060	447.8341	551.91183	542.4471	725.22685
2061	447.18314	554.07021	547.56767	735.80212
2062	446.5635	556.12332	553.0471	746.47188
2063	445.9207	558.07691	558.55648	757.2226
2064	445.27723	559.93397	564.14701	768.04931
2065	444.61902	561.68202	569.80732	778.93799
2066	443.94355	563.32208	575.539	789.88891
2067	443.26882	564.88122	581.36977	800.93238
2068	442.60433	566.37634	587.31722	812.09823
2069	441.9517	567.81504	593.39036	823.40986
2070	441.34334	569.17631	599.42514	834.84352
2071	440.80241	570.42763	605.23808	846.35818
2072	440.29959	571.56163	610.94935	857.96001
2073	439.80947	572.57863	616.681	869.65468
2074	439.32684	573.47962	622.42152	881.43384
2075	438.85022	574.26681	628.17373	893.29986
2076	438.36713	574.92725	633.92394	905.2316
2077	437.87643	575.4613	639.67239	917.24063
2078	437.39719	575.89726	645.44832	929.33029
2079	436.9398	576.25987	651.27083	941.53025
2080	436.47529	576.42655	656.9413	954.05292
2081	435.97125	576.26179	662.25239	967.0627
2082	435.47216	576.04369	667.28579	980.37638
2083	434.99707	575.9732	672.08697	993.81254
2084	434.51701	575.96505	676.6186	1007.3762
2085	434.03063	576.01015	680.88931	1021.0685
2086	433.53784	576.10176	684.90932	1034.8947
2087	433.02784	576.21926	688.66931	1048.8033
2088	432.50084	576.35645	692.17507	1062.8068
2089	431.97678	576.53478	695.46193	1076.9606
2090	431.47294	576.76615	698.56587	1091.0723
2091	430.99896	577.05342	701.5144	1104.9867
2092	430.54808	577.39691	704.41932	1118.8894
2093	430.11047	577.78563	707.36978	1132.8854
2094	429.68013	578.20286	710.34212	1146.9227
2095	429.25077	578.6387	713.32311	1160.9927
2096	428.82102	579.08959	716.30643	1175.0915
2097	428.39079	579.55387	719.28847	1189.2172
2098	427.94949	580.01489	722.25882	1203.3531
2099	427.49743	580.46977	725.22787	1217.4831
2100	426.9627	580.90945	728.1237	1231.4453
2101	426.26508	581.31548	730.85747	1245.1089
2102	425.54487	581.72237	733.58311	1258.7118
2103	424.89771	582.1438	736.39299	1272.3631
2104	424.27311	582.55276	739.21355	1286.0039
2105	423.65808	582.93374	742.021	1299.6449
2106	423.04592	583.2782	744.79945	1313.2663
2107	422.43493	583.58373	747.54059	1326.8737
2108	421.82474	583.84973	750.23878	1340.4348
2109	421.20468	584.06033	752.86968	1353.9384
2110	420.57496	584.21345	755.4253	1367.3773
2111	419.95484	584.33458	757.93134	1380.7579
2112	419.35489	584.44769	760.40476	1394.1578
2113	418.77775	584.56656	762.85324	1407.5854
2114	418.22299	584.69297	765.27974	1421.0553
2115	417.6819	584.8172	767.67291	1434.5876
2116	417.14286	584.92375	770.01345	1448.133
2117	416.60018	585.00388	772.28917	1461.699
2118	416.05294	585.05518	774.49528	1475.2666
2119	415.50145	585.07713	776.62944	1488.8007
2120	414.9358	585.05381	778.6697	1502.3136
2121	414.35674	584.98316	780.61014	1515.7727
2122	413.7837	584.90271	782.47962	1529.1849
2123	413.22739	584.83964	784.29848	1542.6285
2124	412.69062	584.7994	786.07684	1556.1455
2125	412.17267	584.78426	787.81935	1569.7242
2126	411.66423	584.78424	789.51545	1583.3546
2127	411.15823	584.78334	791.14824	1597.0407
2128	410.65346	584.77272	792.70816	1610.7759
2129	410.14861	584.74985	794.19127	1624.4985
2130	409.64385	584.71411	795.59606	1638.2113
2131	409.12927	584.64948	796.90083	1651.9101
2132	408.60556	584.55565	798.10002	1665.5331
2133	408.09179	584.45992	799.22374	1679.1409
2134	407.59837	584.3783	800.29356	1692.7983
2135	407.12789	584.3173	801.32057	1706.5082
2136	406.67994	584.27945	802.31056	1720.2941
2137	406.24609	584.2553	803.2541	1734.1745
2138	405.81515	584.22957	804.13287	1748.1048
2139	405.38175	584.1937	804.93568	1762.0503
2140	404.94518	584.14544	805.65887	1776.0164
2141	404.50587	584.08436	806.30121	1789.9975
2142	404.05437	583.99445	806.84093	1803.9513
2143	403.59166	583.87352	807.27225	1817.8432
2144	403.13677	583.74736	807.62623	1831.7032
2145	402.70009	583.63233	807.92524	1845.586
2146	402.28424	583.53519	808.18047	1859.5456
2147	401.88886	583.45869	808.39823	1873.6069
2148	401.50569	583.39357	808.56918	1887.7443
2149	401.12375	583.32469	808.67492	1901.9481
2150	400.73785	583.28779	808.70955	1916.1945
